# x	y	u	v	flags	mask
7.0563e+04	7.3521e+04	-1.9582e+02	2.2041e+00	0.0000e+00	0.0000e+00
7.1549e+04	7.3521e+04	9.4102e+01	2.8725e+02	0.0000e+00	0.0000e+00
7.2535e+04	7.3521e+04	1.1693e+01	1.4718e+02	0.0000e+00	0.0000e+00
7.3521e+04	7.3521e+04	-1.7023e+02	-2.3108e+01	0.0000e+00	0.0000e+00
7.4507e+04	7.3521e+04	-3.6855e+02	1.3128e+02	0.0000e+00	0.0000e+00
7.5493e+04	7.3521e+04	2.4383e+02	4.2348e+02	0.0000e+00	0.0000e+00
7.6479e+04	7.3521e+04	-2.0382e+01	3.6466e+02	0.0000e+00	0.0000e+00
7.7465e+04	7.3521e+04	-1.3838e+02	1.9345e+02	0.0000e+00	0.0000e+00
7.8451e+04	7.3521e+04	-5.4992e+02	2.4062e+02	0.0000e+00	0.0000e+00
7.9437e+04	7.3521e+04	-1.0211e+00	1.0270e+03	0.0000e+00	0.0000e+00
8.0423e+04	7.3521e+04	-1.1497e+02	-1.3271e+02	0.0000e+00	0.0000e+00
8.1408e+04	7.3521e+04	1.5135e+01	-6.8343e+02	0.0000e+00	0.0000e+00
8.2394e+04	7.3521e+04	-3.4423e+01	-6.3349e+02	0.0000e+00	0.0000e+00
8.3380e+04	7.3521e+04	-1.1244e+02	8.2888e+00	0.0000e+00	0.0000e+00
8.4366e+04	7.3521e+04	2.9730e+02	5.2385e+00	0.0000e+00	0.0000e+00
8.5352e+04	7.3521e+04	4.1199e+02	-1.2201e+02	0.0000e+00	0.0000e+00
8.6338e+04	7.3521e+04	1.8027e+02	-3.1451e+02	0.0000e+00	0.0000e+00
8.7324e+04	7.3521e+04	1.9846e+02	1.5929e+02	0.0000e+00	0.0000e+00
8.8310e+04	7.3521e+04	1.2781e+00	5.4426e+02	0.0000e+00	0.0000e+00
8.9296e+04	7.3521e+04	-9.3716e+02	5.5243e+02	0.0000e+00	0.0000e+00
9.0282e+04	7.3521e+04	9.1477e+01	1.5454e+02	0.0000e+00	0.0000e+00
9.1268e+04	7.3521e+04	2.2022e+02	3.3965e+01	0.0000e+00	0.0000e+00
9.2254e+04	7.3521e+04	2.0334e+02	1.4170e+01	0.0000e+00	0.0000e+00
9.3239e+04	7.3521e+04	2.7250e+01	-1.6079e+00	0.0000e+00	0.0000e+00
9.4225e+04	7.3521e+04	2.9095e+02	-2.7038e+02	0.0000e+00	0.0000e+00
9.5211e+04	7.3521e+04	-5.6040e+01	-2.2231e+02	0.0000e+00	0.0000e+00
9.6197e+04	7.3521e+04	1.0124e+02	-1.1853e+02	0.0000e+00	0.0000e+00
9.7183e+04	7.3521e+04	2.8772e+02	-1.1283e+02	0.0000e+00	0.0000e+00
9.8169e+04	7.3521e+04	9.6810e+01	-1.9706e+02	0.0000e+00	0.0000e+00
9.9155e+04	7.3521e+04	-2.3933e+02	-1.1749e+02	0.0000e+00	0.0000e+00
1.0014e+05	7.3521e+04	-3.0388e+02	-8.7551e+01	0.0000e+00	0.0000e+00
1.0113e+05	7.3521e+04	-1.4620e+02	-4.9564e+01	0.0000e+00	0.0000e+00
1.0211e+05	7.3521e+04	3.3179e+01	-2.6559e+01	0.0000e+00	0.0000e+00
1.0310e+05	7.3521e+04	-9.8898e+01	-1.4849e+02	0.0000e+00	0.0000e+00
1.0408e+05	7.3521e+04	-3.1239e+01	-1.5193e+02	0.0000e+00	0.0000e+00
1.0507e+05	7.3521e+04	-3.6229e+01	-9.4239e+01	0.0000e+00	0.0000e+00
1.0606e+05	7.3521e+04	1.9095e+01	-9.1849e+01	0.0000e+00	0.0000e+00
1.0704e+05	7.3521e+04	5.6946e+02	-1.5343e+02	0.0000e+00	0.0000e+00
1.0803e+05	7.3521e+04	5.6820e+02	3.4986e+01	0.0000e+00	0.0000e+00
1.0901e+05	7.3521e+04	1.8897e+02	1.4817e+02	0.0000e+00	0.0000e+00
1.1000e+05	7.3521e+04	4.4339e+01	1.1381e+02	0.0000e+00	0.0000e+00
1.1099e+05	7.3521e+04	2.9169e+01	1.2253e+02	0.0000e+00	0.0000e+00
1.1197e+05	7.3521e+04	1.1046e+02	6.7081e+01	0.0000e+00	0.0000e+00
1.1296e+05	7.3521e+04	1.1292e+01	-2.0066e+01	0.0000e+00	0.0000e+00
1.1394e+05	7.3521e+04	-1.7226e+01	1.3981e+02	0.0000e+00	0.0000e+00
1.1493e+05	7.3521e+04	-7.6583e+01	1.8650e+02	0.0000e+00	0.0000e+00
1.1592e+05	7.3521e+04	-8.6269e+01	1.6083e+02	0.0000e+00	0.0000e+00
1.1690e+05	7.3521e+04	-4.1172e+02	-1.9027e+01	0.0000e+00	0.0000e+00
1.1789e+05	7.3521e+04	-6.0726e+01	3.8681e+01	0.0000e+00	0.0000e+00
1.1887e+05	7.3521e+04	-4.8155e+01	8.0118e+01	0.0000e+00	0.0000e+00
1.1986e+05	7.3521e+04	-4.7774e+01	1.9056e+02	0.0000e+00	0.0000e+00
1.2085e+05	7.3521e+04	-2.0981e+01	1.7056e+02	0.0000e+00	0.0000e+00
1.2183e+05	7.3521e+04	2.3556e+01	5.8185e+01	0.0000e+00	0.0000e+00
1.2282e+05	7.3521e+04	-2.3186e+01	2.8283e+01	0.0000e+00	0.0000e+00
1.2380e+05	7.3521e+04	4.8724e+01	-1.3083e+02	0.0000e+00	0.0000e+00
1.2479e+05	7.3521e+04	-3.5095e-01	-2.1557e+02	0.0000e+00	0.0000e+00
1.2577e+05	7.3521e+04	2.0618e+00	-1.7027e+02	0.0000e+00	0.0000e+00
1.2676e+05	7.3521e+04	-3.1018e+00	-8.7276e+01	0.0000e+00	0.0000e+00
1.2775e+05	7.3521e+04	8.7282e+01	-1.9967e+01	0.0000e+00	0.0000e+00
1.2873e+05	7.3521e+04	1.0706e+02	-1.9411e+01	0.0000e+00	0.0000e+00
1.2972e+05	7.3521e+04	8.0986e+01	9.4163e+00	0.0000e+00	0.0000e+00
1.3070e+05	7.3521e+04	-4.0693e+01	1.0289e+02	0.0000e+00	0.0000e+00
1.3169e+05	7.3521e+04	-2.9123e+02	9.6784e+01	0.0000e+00	0.0000e+00
1.3268e+05	7.3521e+04	1.5402e+01	1.1792e+02	0.0000e+00	0.0000e+00
1.3366e+05	7.3521e+04	-1.3986e+01	-6.2966e+00	0.0000e+00	0.0000e+00
1.5493e+03	7.2535e+04	5.2142e+00	-1.5114e+01	1.0000e+00	0.0000e+00
2.5352e+03	7.2535e+04	4.7225e+01	-8.6667e+01	0.0000e+00	0.0000e+00
3.5211e+03	7.2535e+04	7.6271e+00	-6.8681e+01	0.0000e+00	0.0000e+00
4.5070e+03	7.2535e+04	-2.6325e+02	-9.6848e+01	0.0000e+00	0.0000e+00
5.4930e+03	7.2535e+04	-4.7356e+00	-3.5920e+01	0.0000e+00	0.0000e+00
6.4789e+03	7.2535e+04	-6.1461e+01	3.2554e-01	1.0000e+00	0.0000e+00
7.4648e+03	7.2535e+04	-6.6967e+01	1.5189e+00	1.0000e+00	0.0000e+00
8.4507e+03	7.2535e+04	-4.9084e+01	3.8360e+00	1.0000e+00	0.0000e+00
9.4366e+03	7.2535e+04	-2.0948e+02	-5.2905e+01	0.0000e+00	0.0000e+00
1.0423e+04	7.2535e+04	-5.7695e+00	-3.6672e+00	0.0000e+00	0.0000e+00
1.1408e+04	7.2535e+04	-1.1517e+01	9.0997e-01	0.0000e+00	0.0000e+00
1.2394e+04	7.2535e+04	-4.6939e+02	1.0949e+01	0.0000e+00	0.0000e+00
1.3380e+04	7.2535e+04	-4.7095e+01	-1.5591e+01	0.0000e+00	0.0000e+00
